Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_float_NN,nn_2048_64_4096,Gemm_Hipblaslt_NN_33082,0.029293
GemmTunableOp_float_NN,nn_256_128_128,Gemm_Rocblas_68894,0.00635357
GemmTunableOp_float_NN,nn_64_1024_4096,Gemm_Hipblaslt_NN_33007,0.0192255
GemmTunableOp_float_NN,nn_128_1024_4096,Gemm_Hipblaslt_NN_33869,0.0289655
GemmTunableOp_float_NN,nn_512_1024_128,Gemm_Rocblas_68913,0.00706396
GemmTunableOp_float_NN,nn_64_128_1024,Gemm_Hipblaslt_NN_32978,0.0123039
GemmTunableOp_float_NN,nn_64_2048_128,Gemm_Rocblas_68912,0.00634155
GemmTunableOp_float_NN,nn_128_2048_1024,Gemm_Hipblaslt_NN_34012,0.0158275
GemmTunableOp_float_NN,nn_64_512_64,Gemm_Rocblas_68888,0.00759196
GemmTunableOp_float_NN,nn_4096_64_256,Gemm_Rocblas_68913,0.00737676
GemmTunableOp_float_NN,nn_512_2048_512,Gemm_Rocblas_68907,0.0185475
GemmTunableOp_float_NN,nn_256_128_512,Gemm_Rocblas_68913,0.00906515
GemmTunableOp_float_NN,nn_1024_1024_512,Gemm_Rocblas_68888,0.0175558
GemmTunableOp_float_NN,nn_128_128_256,Gemm_Rocblas_68875,0.00650397
GemmTunableOp_float_NN,nn_64_256_256,Gemm_Rocblas_68875,0.00645477
GemmTunableOp_float_NN,nn_1024_256_512,Gemm_Rocblas_68913,0.0100168
GemmTunableOp_float_NN,nn_1024_1024_256,Gemm_Rocblas_68899,0.0107486
GemmTunableOp_float_NN,nn_256_128_1024,Gemm_Hipblaslt_NN_32978,0.0123943
GemmTunableOp_float_NN,nn_256_64_128,Gemm_Rocblas_68876,0.00601437
GemmTunableOp_float_NN,nn_1024_128_2048,Gemm_Hipblaslt_NN_33187,0.0212495
GemmTunableOp_float_NN,nn_128_512_1024,Gemm_Hipblaslt_NN_33000,0.0123483
GemmTunableOp_float_NN,nn_128_512_512,Gemm_Rocblas_68913,0.00917955
GemmTunableOp_float_NN,nn_64_256_2048,Gemm_Hipblaslt_NN_32627,0.0147999
GemmTunableOp_float_NN,nn_2048_128_4096,Gemm_Hipblaslt_NN_33187,0.0430998
GemmTunableOp_float_NN,nn_128_128_64,Gemm_Rocblas_68888,0.00771756
GemmTunableOp_float_NN,nn_1024_256_128,Gemm_Rocblas_68901,0.00652116
GemmTunableOp_float_NN,nn_256_512_128,Gemm_Rocblas_68875,0.00649676
GemmTunableOp_float_NN,nn_128_256_128,Gemm_Rocblas_68907,0.00633916
GemmTunableOp_float_NN,nn_2048_256_64,Gemm_Rocblas_68880,0.00802956
GemmTunableOp_float_NN,nn_2048_256_128,Gemm_Rocblas_68913,0.00708556
GemmTunableOp_float_NN,nn_2048_256_256,Gemm_Rocblas_68913,0.00855276
GemmTunableOp_float_NN,nn_2048_256_512,Gemm_Rocblas_68915,0.0128451
GemmTunableOp_float_NN,nn_256_4096_64,Gemm_Rocblas_68884,0.00793194
GemmTunableOp_float_NN,nn_2048_256_1024,Gemm_Rocblas_68913,0.0219499
GemmTunableOp_float_NN,nn_2048_256_2048,Gemm_Rocblas_68907,0.0356766
GemmTunableOp_float_NN,nn_512_256_1024,Gemm_Hipblaslt_NN_33000,0.0130155
GemmTunableOp_float_NN,nn_4096_256_64,Gemm_Rocblas_68892,0.00786156
GemmTunableOp_float_NN,nn_2048_256_4096,Gemm_Hipblaslt_NN_33708,0.0659851
GemmTunableOp_float_NN,nn_4096_256_128,Gemm_Rocblas_68886,0.00825236
GemmTunableOp_float_NN,nn_4096_256_512,Gemm_Rocblas_68898,0.0188335
GemmTunableOp_float_NN,nn_2048_4096_256,Gemm_Rocblas_68899,0.0577964
GemmTunableOp_float_NN,nn_2048_128_256,Default,0.00735957
GemmTunableOp_float_NN,nn_4096_256_1024,Gemm_Hipblaslt_NN_33178,0.0324011
GemmTunableOp_float_NN,nn_64_512_128,Gemm_Rocblas_68887,0.00655637
GemmTunableOp_float_NN,nn_64_512_2048,Gemm_Hipblaslt_NN_32627,0.0150875
GemmTunableOp_float_NN,nn_64_512_4096,Gemm_Hipblaslt_NN_33077,0.0156671
GemmTunableOp_float_NN,nn_256_512_64,Gemm_Rocblas_68888,0.00780076
GemmTunableOp_float_NN,nn_128_512_64,Gemm_Rocblas_68887,0.00790516
GemmTunableOp_float_NN,nn_128_64_256,Gemm_Rocblas_68875,0.00666117
GemmTunableOp_float_NN,nn_2048_512_128,Gemm_Rocblas_68899,0.00827035
GemmTunableOp_float_NN,nn_128_512_4096,Gemm_Hipblaslt_NN_33007,0.0192747
GemmTunableOp_float_NN,nn_256_512_512,Gemm_Rocblas_68913,0.00950955
GemmTunableOp_float_NN,nn_128_2048_512,Gemm_Rocblas_68913,0.0102331
GemmTunableOp_float_NN,nn_256_256_128,Gemm_Rocblas_68907,0.00639197
GemmTunableOp_float_NN,nn_512_512_64,Gemm_Rocblas_68896,0.00800796
GemmTunableOp_float_NN,nn_1024_2048_512,Gemm_Rocblas_68874,0.0280334
GemmTunableOp_float_NN,nn_2048_1024_64,Gemm_Rocblas_68899,0.00811874
GemmTunableOp_float_NN,nn_512_512_256,Gemm_Rocblas_68907,0.00741436
GemmTunableOp_float_NN,nn_512_512_1024,Gemm_Hipblaslt_NN_33000,0.0156475
GemmTunableOp_float_NN,nn_4096_1024_2048,Gemm_Hipblaslt_NN_33204,0.181287
GemmTunableOp_float_NN,nn_4096_4096_128,Gemm_Rocblas_68873,0.060917
GemmTunableOp_float_NN,nn_512_512_4096,Gemm_Hipblaslt_NN_33583,0.0438622
GemmTunableOp_float_NN,nn_1024_512_128,Gemm_Rocblas_68888,0.00718637
GemmTunableOp_float_NN,nn_512_1024_512,Gemm_Rocblas_68913,0.0115002
GemmTunableOp_float_NN,nn_512_128_128,Gemm_Rocblas_68912,0.00624037
GemmTunableOp_float_NN,nn_1024_512_256,Gemm_Rocblas_68913,0.00855595
